Year,State,Flyway,Zone,American Black Duck,American  Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2016,CO,CF,CO,0,1777,699,0,0,683,178225,136,0,0,339,1402,0,572,0,119032,0,72775,2138,0,0,215,1587,301,710,24,0,72,0,4,2894,113,0,0
2016,KS,CF,KS,1,1498,8909,0,0,1011,141779,436,0,0,3650,20371,13678,2165,0,846758,0,319012,23370,0,0,863,1005,647,2748,331,0,949,0,35,5282,0,52,0
2016,MT,CF,MT,0,375,0,0,0,11,125784,0,0,0,0,3812,0,0,0,0,0,9229,142,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
2016,ND,CF,ND,0,2,0,0,0,75,222846,0,0,0,51,146,0,0,0,46,0,15444,219,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0
2016,NE,CF,NE,0,2,67,0,0,0,175322,12,0,0,90,179,0,16,0,1208,0,213806,6033,0,0,33,0,13,0,0,0,1,0,595,0,0,4,0
2016,NM,CF,NM,0,6238,7776,0,0,0,15325,52,0,0,1272,173,0,8247,0,7880,0,15259,10300,0,0,7467,498,655,15,148,0,0,0,0,0,0,0,0
2016,OK,CF,OK,0,4970,2072,10,0,1658,131803,230,0,0,10798,31,6689,11834,0,74917,0,173541,875,0,0,13606,1013,624,3158,470,0,145,0,0,423,0,585,0
2016,SD,CF,SD,0,0,0,0,0,0,105066,0,0,0,10,13,0,2,0,3,0,83966,1525,0,0,1,0,0,0,0,0,2,0,4,0,0,4,0
2016,TX,CF,TX,0,333438,358049,14231,0,8377,428702,28486,0,0,733457,7945,87461,767060,0,369112,0,1000457,10670,0,15980,571005,119104,331103,255920,2008,0,88566,0,0,340239,14065,57309,0
2016,WY,CF,WY,0,467,51,0,0,10,25367,4,0,0,74,3630,0,39,0,0,0,40209,196,0,0,4,0,4,69,0,0,13,0,91,0,0,0,0
