Year,State,Flyway,Zone,American Black Duck,American Coot,American Wigeon,Blue-winged and Cinnamon Teal (not speciated),Brant,Bufflehead,Canada Goose (not speciated),Canvasback,Eider (not speciated),Emperor Goose,Gadwall,Goldeneye (not speciated),Greater White-fronted Goose,Green-winged Teal,Harlequin Duck,Light Geese (not differentiated by color phase),Long-tailed Duck,Mallard,Merganser (not speciated),Mexican-like Duck,Mottled Duck,Northern Pintail,Northern Shoveler,Redhead,Ring-necked Duck,Ruddy Duck,Sandhill Crane,Scaup (not speciated),Scoters,Swan (not differentiated),Unidentified Ducks,Whistling Duck,Wood Duck,Miscellaneous Ducks
2016,AL,MF,AL:1,725,16842,8646,0,0,438,1001,923,0,0,19852,211,325,1755,0,720,0,16098,436,0,0,1999,1245,521,2936,282,9527,627,0,0,50,0,60,0
2016,AL,MF,AL:2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016,AL,MF,AL:3,0,745,0,0,0,450,15,0,0,0,625,0,0,75,0,0,0,55,0,0,0,0,0,0,0,0,0,500,0,0,0,0,0,0
2016,AL,MF,AL:4,0,500,275,0,0,0,0,0,0,0,150,0,0,150,0,0,0,300,50,0,0,0,0,0,150,0,0,0,0,0,300,0,800,0
2016,AR,MF,AR:0,0,0,165,0,0,0,29332,660,0,0,103867,0,137896,46151,0,924723,0,653106,307,0,0,55678,78873,0,4202,0,0,610,0,0,52381,0,101,0
2016,AR,MF,AR:1,0,0,0,0,0,1344,316,10,0,0,12382,0,400,7621,0,3200,0,38726,0,0,0,628,8211,0,315,0,0,0,0,0,0,0,0,0
2016,IA,MF,IA:1,2,225,7,0,0,0,6181,1468,0,0,21,463,5,0,0,0,0,8981,155,0,0,200,0,50,950,0,0,312,0,1052,23,0,0,0
2016,IA,MF,IA:2,0,191,0,0,0,0,22556,0,0,0,1,34,55,12,0,3024,0,24988,9,0,0,0,0,30,8,0,0,0,0,74,0,0,0,0
2016,IA,MF,IA:3,0,214,0,0,0,0,68989,1,0,0,75,180,0,0,0,0,0,7024,958,0,0,0,0,2,12,1,0,0,0,226,152,0,10,0
2016,IA,MF,IA:4,6,0,0,0,0,0,26964,0,0,0,0,2,0,100,0,0,0,13060,1,0,0,20,500,3,0,0,0,0,0,128,25,0,0,0
2016,IA,MF,IA:5,0,63,0,0,0,0,11246,5,0,0,0,26,0,0,0,0,0,1400,1,0,0,0,0,0,35,0,0,0,0,232,0,0,1,0
2016,IL,MF,IL:1,55,900,0,0,0,2100,24390,227570,0,0,5600,18905,18000,7000,0,7010,0,223110,440,0,0,14910,1600,15,14975,4650,0,22600,0,612,0,0,0,0
2016,IL,MF,IL:2,21,3860,2,0,0,51,100892,1665,0,0,2232,11412,20470,0,0,1365,0,63150,812,0,0,600,125,20,10302,3841,0,905,0,178,0,0,0,0
2016,IL,MF,IL:3,240,625,31,0,0,708,3975,95,0,0,4958,512,28520,1622,0,156703,0,22361,46,0,0,1227,578,96,1867,266,0,666,0,147,26,0,0,0
2016,IL,MF,IL:4,0,0,0,2,0,0,4504,0,0,0,0,30,0,0,0,0,0,194,17,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0
2016,IL,MF,IL:5,4829,0,0,0,0,0,500,0,0,0,12712,0,46075,4829,0,122700,0,88614,0,0,0,4829,0,0,6092,0,0,120,0,122,0,0,0,0
2016,IN,MF,IN:1,200,3855,35,0,0,567,6714,183,0,0,935,270,150,75,0,8,0,6878,331,0,0,91,63,194,87,21,2254,332,0,95,0,0,103,0
2016,IN,MF,IN:2,171,3705,98,0,0,192,17930,0,0,0,1042,84,9988,14,0,51806,0,15146,185,0,0,579,43,104,183,56,14059,36,0,316,333,0,172,0
2016,IN,MF,IN:3,2,14,0,0,0,3,70,1,0,0,22,3,0,20,0,0,0,126,0,0,0,0,5,0,10,1,42,0,0,0,0,0,0,0
2016,IN,MF,IN:4,0,0,0,0,0,0,40,0,0,0,600,0,0,0,0,120,0,5876,14,0,0,520,0,0,2,0,30,0,0,0,0,0,6,0
2016,KY,MF,KY:1,120,725,390,0,0,0,1199,40,0,0,1951,20,11465,30,0,8802,0,43043,0,0,0,1525,455,0,1810,0,0,565,0,10,0,0,32,0
2016,KY,MF,KY:2,168,0,3,0,0,26,1341,15,0,0,26,0,0,0,0,0,0,849,52,0,0,0,1,25,10,0,0,0,0,0,32,0,0,0
2016,KY,MF,KY:3,818,155,0,0,0,33,261,41,0,0,16,10,0,10,0,0,0,626,6,0,0,0,0,0,0,0,210,12,0,0,17,0,0,0
2016,LA,MF,LA:1,0,4180,146,165,0,20,0,821,0,0,6709,0,1000,11474,0,5000,0,13419,11,0,0,3926,3809,36,2626,0,0,277,0,0,0,0,9,0
2016,LA,MF,LA:2,0,15941,687,4900,0,0,0,22817,0,0,102479,0,54215,160047,0,149906,0,46529,56,0,0,13395,73589,40,115694,5,0,421,0,0,3,0,717,0
